Ticker,CompanyName,Exchange,Currency,Sector,Country
IRKXL,Beta Tech Inc,LSE,USD,Telecom,DE
RRJ,Gamma Capital AG,FWB,USD,Utilities,NL
LOTU,Apex Media Corp,NASDAQ,USD,Technology,FR
KHFTC,Omega Pharma AG,NASDAQ,EUR,Utilities,US
DGNK,Apex Capital Inc,TASE,ILS,Healthcare,DE
ESMX,Prime Logistics Ltd,LSE,GBP,Energy,DE
DJRTW,Omega Logistics Ltd,LSE,GBP,Industrial,IL
AWOX,Prime Capital Inc,TASE,GBP,Healthcare,UK
HKDYH,Gamma Tech PLC,FWB,GBP,Utilities,DE
auitq,Beta Logistics Corp,LSE,EUR,Industrial,DE
ZGW,Quantum Quantum Ltd,NASDAQ,USD,Utilities,FR
KUI,Gamma Quantum Ltd,NASDAQ,ILS,Energy,FR
WKYOP,Apex Quantum Inc,NYSE,USD,Utilities,NL
WEG,Gamma Media Ltd,LSE,USD,Technology,US
KBXO,Beta Logistics Ltd,FWB,GBP,Financials,IL
REZ,Alpha Pharma AG,TASE,USD,Telecom,US
QOIZN,Apex Tech Corp,TASE,ILS,Telecom,NL
ESQ,Nimbus Quantum PLC,FWB,USD,Healthcare,FR
XVGQO,Apex AI Corp,NYSE,USD,Financials,UK
RJBRI,Nimbus Pharma Ltd,TASE,ILS,Utilities,FR
ANJ,Delta Media AG,LSE,ILS,Energy,IL
BQXZT,Prime Capital Corp,NYSE,GBP,Healthcare,FR
VYUH,Nimbus Tech Inc,LSE,USD,Utilities,IL
NHV,Gamma AI Ltd,NASDAQ,USD,Industrial,IL
MJYL,Quantum Capital Inc,NYSE,EUR,Consumer,IL
CGR,Quantum Systems PLC,TASE,EUR,Utilities,NL
CRHS,Apex Energy Inc,NYSE,ILS,Financials,IL
SND,Vertex Brands Corp,NYSE,GBP,Healthcare,IL
VFKM,Prime Logistics PLC,NYSE,EUR,Financials,UK
ZHSM,Beta Media Ltd,NYSE,USD,Healthcare,US
PDTOU,Nimbus Media Inc,LSE,ILS,Utilities,DE
OOX,Quantum Media AG,NASDAQ,USD,Technology,US
LJJEF,Beta Media Inc,FWB,ILS,Industrial,IL
WLN,Beta Logistics Ltd,NYSE,USD,Utilities,UK
OMWIY,Alpha AI Corp,TASE,ILS,Telecom,FR
UPV,Alpha Pharma Corp,NYSE,ILS,Financials,UK
ANHZ,Nimbus Energy Corp,TASE,ILS,Consumer,IL
TTLY,Vertex Brands Ltd,LSE,USD,Consumer,UK
CCD,Apex Systems Inc,TASE,USD,Energy,UK
OIC,Delta Media AG,FWB,ILS,Healthcare,IL
ZPDCR,Vertex Quantum Corp,NASDAQ,EUR,Financials,NL
MGJ,Quantum Systems Ltd,TASE,GBP,Energy,UK
OML,Beta Pharma PLC,TASE,GBP,Financials,DE
TEDO,Alpha Systems AG,NASDAQ,GBP,Telecom,DE
EZGC,Omega AI Corp,FWB,USD,Healthcare,UK
CJO,Apex Pharma Inc,NYSE,USD,Utilities,NL
QTSFL,Gamma Media PLC,TASE,EUR,Utilities,FR
HXWQP,Prime Pharma AG,NASDAQ,GBP,Consumer,IL
OER,Nimbus Brands PLC,LSE,GBP,Utilities,DE
KEFPW,Beta Logistics PLC,NASDAQ,ILS,Utilities,FR
RHI,Quantum Brands AG,LSE,USD,Telecom,UK
CLRJD,Beta Logistics Inc,FWB,GBP,Technology,FR
YENP,Nimbus Pharma Ltd,NYSE,EUR,Consumer,US
USRM,Quantum Quantum Corp,NASDAQ,EUR,Energy,DE
VNH,Gamma Media Inc,TASE,GBP,Industrial,UK
MOSWO,Vertex Tech Corp,FWB,USD,Technology,IL
KSBR,Prime Quantum Ltd,NASDAQ,EUR,Energy,NL
SBJ,Vertex Capital Corp,TASE,ILS,Healthcare,UK
NLUC,Gamma Capital Inc,NASDAQ,EUR,Technology,IL
OBNT,Prime Quantum Corp,LSE,USD,Telecom,NL
DWBKS,Apex AI Ltd,NASDAQ,USD,Energy,NL
KOKF,Prime Quantum PLC,NASDAQ,USD,Healthcare,UK
TMP,Omega Logistics AG,NASDAQ,GBP,Consumer,FR
VQPD,Prime Capital PLC,TASE,USD,Consumer,FR
BTSV,Apex Systems Ltd,NYSE,USD,Utilities,IL
ISI,Quantum Logistics Inc,NASDAQ,USD,Telecom,UK
NLZBM,Alpha Brands AG,FWB,EUR,Industrial,DE
NHV,Gamma AI Ltd,NASDAQ,USD,Industrial,IL
